"OrderNumber";"OrderDate";"CustomerTable_CustomerID";"OrderType";"Address_AddressID"
1;"2017-12-22 00:00:00";96;"Sales";48
2;"2017-02-04 00:00:00";44;"Sales";79
3;"2017-08-12 00:00:00";29;"Sales";76
4;"2017-03-08 00:00:00";38;"Sales";87
5;"2017-03-18 00:00:00";56;"Sales";79
6;"2017-03-09 00:00:00";69;"Sales";99
7;"2017-03-12 00:00:00";83;"Sales";78
8;"2017-08-07 00:00:00";8;"Sales";38
9;"2017-05-16 00:00:00";50;"Sales";34
10;"2017-07-05 00:00:00";20;"Sales";70
11;"2017-12-15 00:00:00";33;"Sales";12
12;"2017-01-16 00:00:00";38;"Sales";100
13;"2017-01-22 00:00:00";78;"Sales";50
14;"2017-05-09 00:00:00";83;"Sales";80
15;"2017-06-03 00:00:00";13;"Sales";84
16;"2017-02-12 00:00:00";46;"Sales";82
17;"2017-11-09 00:00:00";69;"Sales";20
18;"2017-09-19 00:00:00";19;"Sales";5
19;"2017-04-10 00:00:00";92;"Sales";33
20;"2017-07-07 00:00:00";79;"Sales";35
21;"2017-02-24 00:00:00";13;"Sales";97
22;"2017-07-02 00:00:00";22;"Sales";55
23;"2017-05-26 00:00:00";84;"Sales";87
24;"2017-11-18 00:00:00";55;"Sales";20
25;"2017-09-11 00:00:00";27;"Sales";13
26;"2017-10-02 00:00:00";29;"Sales";67
27;"2017-02-14 00:00:00";53;"Sales";28
28;"2017-02-23 00:00:00";59;"Sales";10
29;"2017-05-12 00:00:00";44;"Sales";88
30;"2017-07-09 00:00:00";75;"Sales";5
31;"2017-05-09 00:00:00";58;"Sales";91
32;"2017-05-26 00:00:00";76;"Sales";27
33;"2017-03-25 00:00:00";9;"Sales";27
34;"2017-11-12 00:00:00";8;"Sales";81
35;"2017-04-07 00:00:00";34;"Sales";54
36;"2017-07-13 00:00:00";86;"Sales";61
37;"2017-12-05 00:00:00";26;"Sales";28
38;"2017-11-23 00:00:00";28;"Sales";88
39;"2017-04-14 00:00:00";64;"Sales";45
40;"2017-03-02 00:00:00";25;"Sales";55
41;"2017-10-08 00:00:00";26;"Sales";64
42;"2017-04-23 00:00:00";78;"Sales";18
43;"2017-08-06 00:00:00";35;"Sales";18
44;"2017-04-06 00:00:00";50;"Sales";4
45;"2017-09-09 00:00:00";27;"Sales";89
46;"2017-02-10 00:00:00";17;"Sales";58
47;"2017-03-02 00:00:00";14;"Sales";28
48;"2017-11-12 00:00:00";21;"Sales";45
49;"2017-10-03 00:00:00";62;"Sales";68
50;"2017-08-17 00:00:00";67;"Sales";51
51;"2017-11-13 00:00:00";8;"Sales";17
52;"2017-06-15 00:00:00";56;"Sales";63
53;"2017-10-10 00:00:00";11;"Sales";2
54;"2017-03-06 00:00:00";18;"Sales";98
55;"2017-02-15 00:00:00";66;"Sales";76
56;"2017-11-20 00:00:00";53;"Sales";19
57;"2017-04-07 00:00:00";6;"Sales";97
58;"2017-05-16 00:00:00";67;"Sales";72
59;"2017-04-24 00:00:00";54;"Sales";36
60;"2017-04-03 00:00:00";18;"Sales";94
61;"2017-08-07 00:00:00";93;"Sales";13
62;"2017-05-11 00:00:00";14;"Sales";28
63;"2017-12-19 00:00:00";15;"Sales";22
64;"2017-06-15 00:00:00";55;"Sales";15
65;"2017-09-04 00:00:00";62;"Sales";27
66;"2017-08-26 00:00:00";39;"Sales";49
67;"2017-05-24 00:00:00";86;"Sales";38
68;"2017-05-12 00:00:00";34;"Sales";48
69;"2017-02-09 00:00:00";42;"Sales";53
70;"2017-06-24 00:00:00";38;"Sales";53
71;"2017-07-03 00:00:00";97;"Sales";31
72;"2017-09-06 00:00:00";89;"Sales";13
73;"2017-06-09 00:00:00";90;"Sales";42
74;"2017-02-07 00:00:00";73;"Sales";80
75;"2017-01-11 00:00:00";7;"Sales";14
76;"2017-03-03 00:00:00";53;"Sales";47
77;"2017-02-08 00:00:00";29;"Sales";2
78;"2017-11-26 00:00:00";26;"Sales";4
79;"2017-12-14 00:00:00";21;"Sales";61
